2022 Oscar list of categories featuring Banshee of Inisherin nominations,
,
Category,Film_Name
Best Actor,Aftersun  
Best Actor,Elvis  
Best Actor,Living  
Best Actor,The Banshees of Inisherin  
Best Actor,The Whale  
Best Director,Everything Everywhere All at Once  
Best Director,Tár  
Best Director,The Banshees of Inisherin  
Best Director,The Fabelmans  
Best Director,Triangle of Sadness  
Best Editing,Elvis  
Best Editing,Everything Everywhere All at Once  
Best Editing,Tár  
Best Editing,The Banshees of Inisherin  
Best Editing,Top Gun: Maverick  
Best Picture,All Quiet on the Western Front 
Best Picture,Avatar: The Way of Water  
Best Picture,Elvis  
Best Picture,Everything Everywhere All at Once  
Best Picture,Tár  
Best Picture,The Banshees of Inisherin 
Best Picture,The Fabelmans  
Best Picture,Top Gun: Maverick  
Best Picture,Triangle of Sadness  
Best Picture,Women Talking  
Best Score,All Quiet on the Western Front  
Best Score,Babylon  
Best Score,Everything Everywhere All at Once  
Best Score,The Banshees of Inisherin  
Best Score,The Fabelmans  
Best Screenplay,Everything Everywhere All at Once  
Best Screenplay,Tár – Todd Field
Best Screenplay,The Banshees of Inisherin  
Best Screenplay,The Fabelmans  
Best Screenplay,Triangle of Sadness
Best Supporting Actor,Causeway  
Best Supporting Actor,Everything Everywhere All at Once  
Best Supporting Actor,The Banshees of Inisherin  
Best Supporting Actor,The Banshees of Inisherin Barry Keoghan  
Best Supporting Actor,The Fabelmans  
Best Supporting Actress,Black Panther: Wakanda Forever  
Best Supporting Actress,Everything Everywhere All at Once  
Best Supporting Actress,Everything Everywhere All at Once  
Best Supporting Actress,The Banshees of Inisherin  
Best Supporting Actress,The Whale  
