Directors Guild Nominations and Winners for best Director from 1948,,,
Year,d nominees,Film,Ref.
1948,Joseph L. Mankiewicz,A Letter to Three Wives,Winner
1948,Anatole Litvak,The Snake Pit,Nominee
1948,Fred Zinnemann,The Search,Nominee
1948,Howard Hawks,Red River,Nominee
1949,Robert Rossen,All the King's Men,Winner
1949,Alfred L. Werker,Lost Boundaries,Nominee
1949,Carol Reed,The Third Man,Nominee
1949,Mark Robson,Champion,Nominee
1950,Joseph L. Mankiewicz,All About Eve,Winner
1950,Billy Wilder,Sunset Boulevard,Nominee
1950,John Huston,The Asphalt Jungle,Nominee
1950,Vincente Minnelli,Father's Little Dividend,Nominee
1951,George Stevens,A Place in the Sun,Winner
1951,Alfred Hitchcock,Strangers on a Train,Nominee
1951,Anatole Litvak,Decision Before Dawn,Nominee
1951,Elia Kazan,A Streetcar Named Desire,Nominee
1951,George Sidney,Show Boat,Nominee
1951,Henry King,David and Bathsheba,Nominee
1951,László Benedek,Death of a Salesman,Nominee
1951,Mervyn LeRoy,Quo Vadis,Nominee
1951,Michael Gordon,Cyrano de Bergerac,Nominee
1951,Richard Thorpe,The Great Caruso,Nominee
1951,Vincente Minnelli,An American in Paris,Nominee
1951,William Wyler,Detective Story,Nominee
1952,John Ford,The Quiet Man,Winner
1952,Akira Kurosawa,Rashomon,Nominee
1952,Albert Lewin,Pandora and the Flying Dutchman,Nominee
1952,Cecil B. DeMille,The Greatest Show on Earth,Nominee
1952,Charles Crichton,The Lavender Hill Mob,Nominee
1952,Charles Vidor,Hans Christian Andersen,Nominee
1952,Elia Kazan,Viva Zapata!,Nominee
1952,Fred Zinnemann,High Noon,Nominee
1952,Gene Kelly and Stanley Donen,Singin' in the Rain,Nominee
1952,George Cukor,Pat and Mike,Nominee
1952,George Sidney,Scaramouche,Nominee
1952,Henry King,The Snows of Kilimanjaro,Nominee
1952,Howard Hawks,The Big Sky,Nominee
1952,Hugo Fregonese,My Six Convicts,Nominee
1952,Joseph L. Mankiewicz,5 Fingers,Nominee
1952,Michael Curtiz,I'll See You in My Dreams,Nominee
1952,Richard Thorpe,Ivanhoe,Nominee
1952,Vincente Minnelli,The Bad and the Beautiful,Nominee
1953,Fred Zinnemann,From Here to Eternity,Winner
1953,Billy Wilder,Stalag 17,Nominee
1953,Charles Walters,Lili,Nominee
1953,Daniel Mann,"Come Back, Little Sheba",Nominee
1953,George Sidney,Young Bess,Nominee
1953,George Stevens,Shane,Nominee
1953,Henry Koster,The Robe,Nominee
1953,Jean Negulesco,Titanic,Nominee
1953,Joseph L. Mankiewicz,Julius Caesar,Nominee
1953,Melvin Frank and Norman Panama,Above and Beyond,Nominee
1953,Walter Lang,Call Me Madam,Nominee
1953,William Wyler,Roman Holiday,Nominee
1954,Elia Kazan,On the Waterfront,Winner
1954,Alfred Hitchcock,Rear Window,Nominee
1954,Anthony Mann,The Glenn Miller Story,Nominee
1954,Billy Wilder,Sabrina,Nominee
1954,Don Siegel,Riot in Cell Block 11,Nominee
1954,Edward Dmytryk,The Caine Mutiny,Nominee
1954,George Cukor,A Star Is Born,Nominee
1954,George Seaton,The Country Girl,Nominee
1954,Henry King,King of the Khyber Rifles,Nominee
1954,Jean Negulesco,Three Coins in the Fountain,Nominee
1954,Melvin Frank and Norman Panama,Knock on Wood,Nominee
1954,Robert Wise,Executive Suite,Nominee
1954,Samuel Fuller,Hell and High Water,Nominee
1954,Stanley Donen,Seven Brides for Seven Brothers,Nominee
1954,William A. Wellman,The High and the Mighty,Nominee
1955,Delbert Mann,Marty,Winner
1955,Billy Wilder,The Seven Year Itch,Nominee
1955,Charles Vidor,Love Me or Leave Me,Nominee
1955,Daniel Mann,The Rose Tattoo,Nominee
1955,Elia Kazan,East of Eden,Nominee
1955,Henry Koster,A Man Called Peter,Nominee
1955,John Ford,The Long Gray Line,Nominee
1955,John Sturges,Bad Day at Black Rock,Nominee
1955,Joshua Logan,Picnic,Nominee
1955,Mark Robson,The Bridges at Toko-Ri,Nominee
1955,Richard Brooks,Blackboard Jungle,Nominee
1956,George Stevens,Giant,Winner
1956,Daniel Mann,Teahouse of the August Moon,Nominee
1956,John Huston,Moby Dick,Nominee
1956,Joshua Logan,Bus Stop,Nominee
1956,King Vidor,War and Peace,Nominee
1956,Michael Anderson,Around the World in 80 Days,Nominee
1956,Robert Wise,Somebody Up There Likes Me,Nominee
1956,William Wyler,Friendly Persuasion,Nominee
1957,David Lean,The Bridge on the River Kwai,Winner
1957,Anthony Mann,Men in War,Nominee
1957,Elia Kazan,A Face in the Crowd,Nominee
1957,Fred Zinnemann,A Hatful of Rain,Nominee
1957,George Cukor,Les Girls,Nominee
1957,John Huston,"Heaven Knows, Mr. Allison",Nominee
1957,John Sturges,Gunfight at the O.K. Corral,Nominee
1957,José Ferrer,The Great Man,Nominee
1957,Leo McCarey,An Affair to Remember,Nominee
1957,Robert Mulligan,Fear Strikes Out,Nominee
1957,Stanley Donen,Funny Face,Nominee
1957,Stanley Kramer,The Pride and the Passion,Nominee
1958,Vincente Minnelli,Gigi,Winner
1958,Alfred Hitchcock,Vertigo,Nominee
1958,Delmer Daves,Cowboy,Nominee
1958,Edward Dmytryk,The Young Lions,Nominee
1958,George Abbott and Stanley Donen,Damn Yankees,Nominee
1958,George Seaton,Teacher's Pet,Nominee
1958,Martin Ritt,"The Long, Hot Summer",Nominee
1958,Richard Brooks,The Brothers Karamazov,Nominee
1958,Richard Fleischer,The Vikings,Nominee
1958,William Wyler,The Big Country,Nominee
1959,William Wyler,Ben-Hur,Winner
1959,Alfred Hitchcock,North by Northwest,Nominee
1959,Billy Wilder,Some Like It Hot,Nominee
1959,Charles Barton,The Shaggy Dog,Nominee
1959,Douglas Sirk,Imitation of Life,Nominee
1959,Frank Capra,A Hole in the Head,Nominee
1959,Fred Zinnemann,The Nun's Story,Nominee
1959,George Stevens,The Diary of Anne Frank,Nominee
1959,Howard Hawks,Rio Bravo,Nominee
1959,John Ford,The Horse Soldiers,Nominee
1959,Leo McCarey,"Rally Round the Flag, Boys!",Nominee
1959,Otto Preminger,Anatomy of a Murder,Nominee
1959,Richard Fleischer,Compulsion,Nominee
1960,Billy Wilder,The Apartment,Winner
