RANK,Film,Year,Cost
1,Star Wars: The Force Awakens,2015,*$446
2,Star Wars: The Rise of Skywalker,2019,*$416
3,Pirates of the Caribbean: On Stranger Tides,2011,*$379
4,Avengers: Age of Ultron,2015,*$365
5,Avengers: Endgame,2019,$356
6,Avatar: The Way of Water,2022,$350
7,Avengers: Infinity War,2018,$325
8,Justice League,2017,$300
8,Pirates of the Caribbean: At World's End,2007,$300
8,Star Wars: The Last Jedi,2017,$300
11,Solo: A Star Wars Story,2018,*$271
12,John Carter,2012,*$264
13,Batman v Superman: Dawn of Justice,2016,$263
14,Tangled,2010,$260
14,The Lion King,2019,$260
16,Spider-Man 3,2007,*$258
17,Beauty and the Beast,2017,*$255
18,Black Panther: Wakanda Forever,2022,$250
18,Furious 7,2015,$250
18,Harry Potter and the Half-Blood Prince,2009,$250
18,No Time to Die,2021,$250
18,The Fate of the Furious,2017,$250
18,Thor: Love and Thunder,2022,$250
24,Spectre,2015,$245
25,Avatar,2009,*$237
26,Rogue One,2016,*$232
27,Captain America: Civil War,2016,$230
27,Pirates of the Caribbean: Dead Men Tell No Tales,2017,$230
27,The Dark Knight Rises,2012,$230
30,Maleficent,2014,$226
31,Man of Steel,2013,$225
31,Pirates of the Caribbean: Dead Man's Chest,2006,$225
31,The Chronicles of Narnia: Prince Caspian,2008,*$225
31,The Lone Ranger,2013,*$225
35,The Avengers,2012,$220
36,The Hobbit: The Desolation of Smaug,2013,*$217
36,Transformers: The Last Knight,2017,*$217
38,Men in Black 3,2012,*$215
38,Oz the Great and Powerful,2013,*$215
40,Transformers: Age of Extinction,2014,$210
40,X-Men: The Last Stand,2006,$210
42,Battleship,2012,*$209
42,Dawn of the Planet of the Apes,2014,$209
42,The Hobbit: The Battle of the Five Armies,2014,$209
45,King Kong,2005,$207
46,X-Men: Days of Future Past,2014,$205
47,Superman Returns,2006,*$204
48,2012,2009,*$200
48,Ant-Man and the Wasp: Quantumania,2023,$200
48,Black Panther,2018,$200
48,Black Widow,2021,$200
48,Cars 2,2011,$200
48,Dark Phoenix,2019,$200
48,Doctor Strange in the Multiverse of Madness,2022,$200
48,Eternals,2021,$200
48,Exodus: Gods and Kings,2014,$200
48,F9,2021,$200
48,Fantastic Beasts: The Crimes of Grindelwald,2018,$200
48,Fantastic Beasts: The Secrets of Dumbledore,2022,$200
48,Green Lantern,2011,$200
48,Guardians of the Galaxy Vol. 2,2017,$200
48,Hobbs & Shaw,2019,$200
48,Incredibles 2,2018,$200
48,Iron Man 3,2013,$200
48,Jungle Cruise,2021,$200
48,Lightyear,2022,$200
48,Monsters University,2013,$200
48,Mulan,2020,$200
48,Quantum of Solace,2008,$200
48,Red Notice,2021,$200
48,Spider-Man 2,2004,$200
48,Spider-Man: No Way Home,2021,$200
48,Tenet,2020,$200
48,Terminator Salvation,2009,$200
48,The Amazing Spider-Man,2012,$200
48,The Amazing Spider-Man 2,2014,$200
48,The Battle at Lake Changjin,2021,$200
48,The Gray Man,2022,$200
48,The Hobbit: An Unexpected Journey,2012,$200
48,The Tomorrow War,2021,$200
48,Titanic,1997,*$200
48,Toy Story 3,2010,$200
48,Toy Story 4,2019,$200
48,Transformers: Revenge of the Fallen,2009,*$200
48,Wonder Woman 1984,2020,$200
