Actors Guild nominations for Best Actress,,,,,
Year,Nominee,Film,Award,Guild,Nomination
1994,Dianne Wiest,Bullets over Broadway,Winner,SAG,Best Supporting Actress
1994,Sally Field,Forrest Gump,Nominees,SAG,Best Supporting Actress
1994,Robin Wright,Forrest Gump,Nominees,SAG,Best Supporting Actress
1994,Uma Thurman,Pulp Fiction,Nominees,SAG,Best Supporting Actress
1994,Jamie Lee Curtis,True Lies,Nominees,SAG,Best Supporting Actress
1995,Kate Winslet,Sense and Sensibility,Winner,SAG,Best Supporting Actress
1995,Mare Winningham,Georgia,Nominees,SAG,Best Supporting Actress
1995,Mira Sorvino,Mighty Aphrodite,Nominees,SAG,Best Supporting Actress
1995,Stockard Channing,Smoke,Nominees,SAG,Best Supporting Actress
1995,Anjelica Huston,The Crossing Guard,Nominees,SAG,Best Supporting Actress
1996,Lauren Bacall,The Mirror Has Two Faces,Winner,SAG,Best Supporting Actress
1996,Renée Zellweger,Jerry Maguire,Nominees,SAG,Best Supporting Actress
1996,Gwen Verdon,Marvin's Room,Nominees,SAG,Best Supporting Actress
1996,Juliette Binoche,The English Patient,Nominees,SAG,Best Supporting Actress
1996,Marisa Tomei,Unhook the Stars,Nominees,SAG,Best Supporting Actress
1997,Kim Basinger (TIE),L.A. Confidential,Winner,SAG,Best Supporting Actress
1997,Julianne Moore,Boogie Nights,Nominees,SAG,Best Supporting Actress
1997,Minnie Driver,Good Will Hunting,Nominees,SAG,Best Supporting Actress
1997,Alison Elliott,The Wings of the Dove,Nominees,SAG,Best Supporting Actress
1997,Gloria Stuart (TIE),Titanic,Nominees,SAG,Best Supporting Actress
1998,Kathy Bates,Primary Colors,Winner,SAG,Best Supporting Actress
1998,Rachel Griffiths,Hilary and Jackie,Nominees,SAG,Best Supporting Actress
1998,Brenda Blethyn,Little Voice,Nominees,SAG,Best Supporting Actress
1998,Judi Dench,Shakespeare in Love,Nominees,SAG,Best Supporting Actress
1999,Angelina Jolie,"Girl, Interrupted",Winner,SAG,Best Supporting Actress
1999,Cameron Diaz,Being John Malkovich,Nominees,SAG,Best Supporting Actress
1999,Chloë Sevigny,Boys Don't Cry,Nominees,SAG,Best Supporting Actress
1999,Julianne Moore,Magnolia,Nominees,SAG,Best Supporting Actress
1999,Catherine Keener,Maxine Lund,Nominees,SAG,Best Supporting Actress
2000,Judi Dench,Chocolat,Winner,SAG,Best Supporting Actress
2000,Kate Hudson,Almost Famous,Nominees,SAG,Best Supporting Actress
2000,Julie Walters,Billy Elliot,Nominees,SAG,Best Supporting Actress
2000,Frances McDormand,Elaine Miller,Nominees,SAG,Best Supporting Actress
2000,Kate Winslet,Quills,Nominees,SAG,Best Supporting Actress
2001,Helen Mirren,Gosford Park,Winner,SAG,Best Supporting Actress
2001,Cate Blanchett,Bandits,Nominees,SAG,Best Supporting Actress
2001,Dakota Fanning,I Am Sam,Nominees,SAG,Best Supporting Actress
2001,Judi Dench,The Shipping News,Nominees,SAG,Best Supporting Actress
2001,Cameron Diaz,Vanilla Sky,Nominees,SAG,Best Supporting Actress
2002,Catherine Zeta-Jones,Chicago,Winner,SAG,Best Supporting Actress
2002,Kathy Bates,About Schmidt,Nominees,SAG,Best Supporting Actress
2002,Queen Latifah,Chicago,Nominees,SAG,Best Supporting Actress
2002,Julianne Moore,The Hours,Nominees,SAG,Best Supporting Actress
